Gene,Indegree,Outdegree,Degree,Node Type,Node Class(PPI),Essential gene,Mouse,Fish,Fly,Worm,Yeast,Signaling proteins,Membrane Receptors,Kinases,Transcription Factors,High Copy Number,Moderate Copy Number,Low Copy Number,Very Low Copy Number,Acetylation,Phosphorylation (pS/pT),Phosphorylation (pY),Ubiquitination,Cancer driver genes,Cancer I,OMIM,HIV (RNAi),HIV (PPI),All Viruses,"Therapeutic 
targets(CRISPR-Cas9)",FDA approved,Druggable,GO Genes,STOP Genes,coreCTL_genes,CAR_genes,checkpoint_genes
A2M,7,19,26,Tail,Indispensable,yes,yes,yes,yes,yes,-,-,-,-,-,-,-,-,yes,yes,yes,yes,-,-,-,yes,-,-,yes,-,yes,-,-,-,-,-,-
A4GALT,1,0,1,Head/Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,-,yes,-,-,-,-,yes,-,-,-
AAAS,6,63,69,Head,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,yes,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
AACS,4,0,4,Head/Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
AADAT,15,6,21,control hub,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
AAK1,1,2,3,Head,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
AANAT,0,5,5,Head/Tail,Dispensable,yes,yes,yes,-,-,yes,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
AARS,13,0,13,Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,yes,-,-,-,-,-,yes,yes,-,-,-,-,-,-,-
AARS2,13,0,13,Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,yes,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
AASDHPPT,0,2,2,Head,Dispensable,yes,yes,yes,yes,yes,yes,-,-,-,-,-,yes,-,-,-,yes,-,yes,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
AATF,3,0,3,Head/Tail,Neutral,yes,yes,yes,yes,yes,yes,-,-,-,yes,-,yes,-,-,yes,yes,yes,yes,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ABAT,5,0,5,Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,yes,-,-,-,-,-,-,-,-
ABCA1,17,2,19,Tail,Indispensable,yes,yes,yes,yes,yes,yes,-,-,-,-,-,-,-,-,-,yes,yes,-,-,-,yes,-,-,yes,-,yes,yes,-,-,-,-,-
ABCA10,1,1,2,Head/Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ABCA12,1,1,2,Head/Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ABCA2,1,1,2,Head/Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,-,-,yes,-,-,yes,-,-,-,-,-,-,-,-
ABCA3,2,1,3,Head/Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ABCA4,0,15,15,Head,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ABCA6,1,1,2,Head/Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,-,-,-,yes,-,-,-
ABCA9,1,1,2,Head/Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,yes,-,-,-,-,-,-,-,yes,-,-,-
ABCB1,5,0,5,Head/Tail,Dispensable,-,yes,yes,yes,yes,yes,-,-,-,-,-,-,yes,-,-,yes,-,yes,-,-,yes,-,-,yes,-,yes,yes,-,yes,-,-,-
ABCB10,1,4,5,Head,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,yes,-,-,yes,-,yes,-,-,-,-,-,-,-,-,-
ABCB11,1,0,1,Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,yes,-,-,-,-,-,-,-,yes,-,-,-
ABCB4,14,0,14,Head/Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ABCB7,1,6,7,Head,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,-,-,-,yes,-,-,-,-,-,-,yes,-,-,-,-
ABCB8,1,4,5,Head,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,yes,-,-,yes,-,-,-,-,-,-,-,yes,-,-,-
ABCC1,9,23,32,control hub,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,yes,-,-,yes,-,-,-,-,-,-,-,yes,-,-,-
ABCC3,0,2,2,Head/Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,yes,-,-,yes,-,-,yes,-,-,-,-,-,-,-,-
ABCC8,32,19,51,Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ABCC9,19,19,38,Head/Tail,Neutral,yes,yes,yes,yes,yes,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,yes,-,yes,yes,-,-,-,-,-
ABCD1,1,36,37,Head,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,yes,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ABCD2,1,0,1,Head/Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ABCD3,1,0,1,Head/Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,yes,yes,-,-,yes,-,yes,-,-,-,-,-,yes,-,-,-
ABCD4,0,2,2,Head/Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,yes,-,-,-,-,-,-,yes,-,-,-,-
ABCF1,1,0,1,Head/Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ABCG2,7,0,7,Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,yes,-,-,-,-,-,-,-,yes,-,-,-
ABHD10,1,1,2,Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ABHD12,0,4,4,Head/Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,yes,-,-,yes,-,-,-,-,-,-,-,-
ABHD5,15,15,30,Head/Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,yes,-,-,-,-,-,-,-,-
ABHD6,0,4,4,Head/Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,yes,-,-,-,-,-,-,-,yes,-,-,-
ABI1,146,11,157,Tail,Neutral,yes,yes,yes,yes,yes,-,-,-,-,-,-,yes,-,-,-,yes,yes,-,yes,yes,yes,-,-,-,-,-,-,-,-,-,-,-
ABI2,147,7,154,Tail,Dispensable,yes,yes,yes,yes,yes,-,-,-,-,-,-,-,yes,-,-,yes,yes,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ABL1,25,72,97,control hub,Indispensable,yes,yes,yes,yes,yes,-,-,-,yes,-,-,-,-,yes,yes,yes,yes,-,yes,yes,yes,-,-,-,-,yes,yes,-,-,-,-,-
ABL2,2,10,12,Head,Indispensable,yes,yes,yes,yes,yes,-,-,-,yes,-,-,-,yes,-,-,yes,yes,-,yes,yes,yes,-,-,-,-,yes,yes,-,-,-,-,-
ABLIM1,2,0,2,Head/Tail,Dispensable,yes,yes,yes,yes,yes,-,-,-,-,-,-,-,yes,-,-,yes,yes,-,-,-,yes,-,-,yes,-,-,-,-,-,-,-,-
ABO,1,0,1,Head/Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ABR,0,17,17,Head/Tail,Neutral,yes,yes,yes,yes,yes,yes,-,-,-,-,-,-,yes,-,-,-,yes,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ACAA1,2,3,5,control hub,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,yes,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ACAA2,3,7,10,control hub,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ACACA,12,5,17,Head,Dispensable,yes,yes,yes,yes,yes,yes,yes,-,-,-,-,yes,-,-,yes,yes,yes,yes,-,-,yes,-,-,-,-,yes,yes,-,-,-,-,-
ACACB,13,5,18,control hub,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,-,-,-,yes,yes,-,yes,-,-,-,-,yes,-,-,-
ACADL,2,0,2,Head/Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ACADM,15,0,15,Head/Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ACADVL,2,0,2,Head/Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,yes,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ACAN,35,0,35,Tail,Dispensable,yes,yes,yes,yes,yes,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,yes,-,yes,-,-,-,-,-,-
ACAP1,5,1,6,Head/Tail,Dispensable,-,yes,yes,yes,yes,yes,-,-,-,-,-,-,-,-,yes,yes,yes,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ACAP2,0,1,1,Head/Tail,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
ACAT1,16,2,18,Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,yes,yes,-,-,yes,-,-,-,-,-,-,-,yes,-,-,-
ACAT2,16,1,17,Tail,Neutral,yes,yes,yes,yes,yes,yes,-,-,-,-,yes,-,-,-,yes,-,-,yes,-,-,yes,-,-,yes,-,yes,-,-,-,-,-,-
ACE,1,1,2,Head/Tail,Neutral,yes,yes,yes,yes,yes,-,-,-,-,-,-,-,-,-,-,yes,-,yes,-,-,yes,-,-,-,-,yes,yes,-,-,-,-,-
ACE2,0,1,1,Head/Tail,Neutral,yes,yes,yes,yes,yes,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,yes,-,-,-,-,yes,yes,-,-,-,-,-
ACER1,6,2,8,Tail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-
